Key,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Total,Accuracy
a,10,10,10,8,10,10,10,10,8,10,9,105,95.45454545454545
b,10,9,9,10,10,10,10,10,8,9,8,103,93.63636363636364
c,10,10,10,10,10,10,10,10,9,9,9,107,97.27272727272728
d,10,10,10,10,10,10,10,10,8,8,8,104,94.54545454545455
e,10,9,9,10,10,10,9,10,8,8,8,101,91.81818181818183
f,9,8,8,9,10,10,10,10,8,8,8,98,89.0909090909091
g,10,10,10,10,10,10,10,10,8,8,8,104,94.54545454545455
h,10,10,10,10,10,10,10,10,8,8,8,104,94.54545454545455
i,10,10,10,10,9,9,9,10,9,9,9,104,94.54545454545455
j,10,9,9,9,9,10,10,10,10,10,10,106,96.36363636363636
k,10,10,10,8,8,10,10,10,10,10,10,106,96.36363636363636
l,9,9,9,9,9,9,9,9,9,9,9,99,90.0
m,10,10,10,10,9,9,9,9,9,9,9,103,93.63636363636364
n,10,10,10,10,10,10,10,10,10,10,10,110,100.0
o,10,10,10,8,8,8,8,9,9,9,9,98,89.0909090909091
p,10,8,8,9,9,9,10,10,10,10,10,103,93.63636363636364
q,10,9,9,9,9,9,8,8,8,8,8,95,86.36363636363636
r,8,8,8,8,8,10,10,10,10,10,10,100,90.9090909090909
s,10,10,8,10,9,9,9,9,9,9,9,101,91.81818181818183
t,10,10,10,8,8,8,8,8,8,8,8,94,85.45454545454545
u,9,9,9,9,8,10,10,10,10,10,10,104,94.54545454545455
v,10,10,8,8,8,8,8,8,8,8,8,92,83.63636363636363
w,9,9,9,9,9,9,9,9,9,9,9,99,90.0
x,10,10,10,10,10,10,10,10,10,10,10,110,100.0
y,8,8,8,9,9,9,9,9,9,9,9,96,87.27272727272727
z,8,10,10,8,8,9,9,9,9,9,9,98,89.0909090909091
 ,9,9,9,9,9,9,9,9,9,9,9,99,90.0
",",9,9,9,9,9,9,9,9,9,9,9,99,90.0
.,10,10,10,10,10,10,10,10,10,10,10,110,100.0
/,10,10,10,10,10,10,10,10,10,10,10,110,100.0
;,10,10,10,10,10,10,10,10,10,10,10,110,100.0
back,10,10,10,10,10,10,10,10,10,10,10,110,100.0
