Key,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Total,Accuracy
a,10,10,10,10,10,10,10,10,9,10,9,108,98.18181818181819
b,10,10,10,10,10,10,10,10,9,10,9,108,98.18181818181819
c,10,10,10,10,10,10,10,10,9,10,9,108,98.18181818181819
d,10,10,10,10,10,10,10,10,10,10,10,110,100.0
e,10,10,10,10,10,10,10,10,10,10,10,110,100.0
f,10,10,10,10,10,10,10,10,10,10,10,110,100.0
g,10,10,10,9,9,10,9,10,9,9,9,104,94.54545454545455
h,10,10,9,9,10,10,10,10,10,6,10,104,94.54545454545455
i,10,10,10,10,10,9,10,10,9,6,9,103,93.63636363636364
j,10,9,10,9,9,10,8,10,9,10,9,103,93.63636363636364
k,10,9,10,10,10,10,9,9,9,10,9,105,95.45454545454545
l,9,10,10,9,9,10,7,10,9,10,9,102,92.72727272727272
m,10,10,10,10,10,9,10,9,10,10,10,108,98.18181818181819
n,10,10,10,10,10,10,10,10,10,10,10,110,100.0
o,10,10,8,8,9,10,10,10,8,10,8,101,91.81818181818183
p,10,10,10,10,10,9,10,10,10,10,10,109,99.0909090909091
q,10,10,10,10,10,10,10,10,10,10,10,110,100.0
r,10,10,10,10,10,10,10,10,10,10,10,110,100.0
s,10,10,9,10,10,10,10,10,10,10,10,109,99.0909090909091
t,10,10,9,10,10,10,10,10,10,10,10,109,99.0909090909091
u,10,10,10,8,9,10,9,10,9,10,9,104,94.54545454545455
v,10,10,10,10,10,10,10,10,10,10,10,110,100.0
w,10,10,10,10,10,10,10,10,10,9,10,109,99.0909090909091
x,10,10,9,9,10,10,10,10,10,9,10,107,97.27272727272728
y,10,10,9,10,10,10,9,10,8,9,8,103,93.63636363636364
z,10,10,10,10,10,10,10,10,10,10,10,110,100.0
 ,10,10,10,10,10,9,10,10,9,9,9,106,96.36363636363636
",",10,10,9,10,9,10,10,10,10,9,10,107,97.27272727272728
.,10,9,9,10,8,9,9,10,9,9,9,101,91.81818181818183
/,8,10,10,9,10,10,10,10,8,8,8,101,91.81818181818183
;,10,9,10,9,10,10,10,9,8,10,8,103,93.63636363636364
back,10,10,10,10,10,9,9,10,10,10,10,108,98.18181818181819
